"country","founded","id","industry","linkedin_url","locality","name","region","size","website"
"united kingdom","2020","plymouth-gazette","newspapers","linkedin.com/company/plymouth-gazette","","plymouth gazette","devon","11-50","plymouthgazette.co.uk"
"","2020","thepigeon","newspapers","linkedin.com/company/thepigeon","","the pigeon","","11-50","the-pigeon.ca"
"united states","2020","thedaily-times","newspapers","linkedin.com/company/thedaily-times","washington","the daily times","district of columbia","201-500","thedaily-times.com"
"united states","2020","thescimag","newspapers","linkedin.com/company/thescimag","new york","thescimag","new york","11-50","labibkamal.wixsite.com/scimag"
"brazil","2020","boletim-br-oriente","newspapers","linkedin.com/company/boletim-br-oriente","campinas","boletim br-oriente","sao paulo","11-50","instagram.com/br.oriente"
"peru","2020","eyng-estrategias-y-negocios","newspapers","linkedin.com/company/eyng-estrategias-y-negocios","lima","eyng - estrategias y negocios","lima","1-10","eyng.pe"
"united states","2020","the-new-gazette","newspapers","linkedin.com/company/the-new-gazette","huntsville","the new gazette","alabama","1-10","newgazette.co"
"canada","2020","race-to-a-cure","newspapers","linkedin.com/company/race-to-a-cure","toronto","race to a cure","ontario","11-50","racetoacure.org"
"france","2020","captaincyber","newspapers","linkedin.com/company/captaincyber","","captaincyber","","1-10","captaincyber.com"
"malaysia","2020","thevibesnews","newspapers","linkedin.com/company/thevibesnews","kuala lumpur","the vibes","kuala lumpur","51-200","thevibes.com"
"gambia","2020","the-watch-gambia","newspapers","linkedin.com/company/the-watch-gambia","","the watch gambia","","1-10","thewatchgambia.com"
"united kingdom","2020","politika-news","newspapers","linkedin.com/company/politika-news","london","politika news","greater london","11-50","politikapolitika.com"
"nepal","2020","silauti-multimedia-group-ltd","newspapers","linkedin.com/company/silauti-multimedia-group-ltd","kathmandu","silauti multimedia group ltd","central region","11-50","silautitimes.com"
"bangladesh","2020","sangbad24news","newspapers","linkedin.com/company/sangbad24news","","sangbad24.news","dhaka","11-50","sangbad24.news"
"singapore","2020","lionlights","newspapers","linkedin.com/company/lionlights","singapore","lionlights","central singapore","11-50",""
"united kingdom","2020","mdxecho","newspapers","linkedin.com/company/mdxecho","london","echo","england","1-10","mdxstudentmedia.com"
"united states","2020","gearadical","newspapers","linkedin.com/company/gearadical","minneapolis","gearadical","minnesota","11-50","gearadical.com"
"india","2019","globbal-media-line-private-limited","newspapers","linkedin.com/company/globbal-media-line-private-limited","bengaluru","global business line","karnataka","11-50","businessline.global"
"mexico","2019","whitepaper-mx","newspapers","linkedin.com/company/whitepaper-mx","monterrey","whitepaper.mx","nuevo leon","1-10","whitepaper.com.mx"
"france","2019","easynomics","newspapers","linkedin.com/company/easynomics","paris","easynomics","ile-de-france","1-10","easynomics.fr"
"","2019","passpolitique","newspapers","linkedin.com/company/passpolitique","","pass'politique","","1-10","passpolitique.fr"
"france","2019","courrier-d-europe-sorbonne","newspapers","linkedin.com/company/courrier-d-europe-sorbonne","paris","courrier d'europe - sorbonne","ile-de-france","1-10","barbariemaes.wordpress.com"
"united states","2019","courier-newsroom","newspapers","linkedin.com/company/courier-newsroom","new york","courier newsroom","new york","11-50","couriernewsroom.com"
"","2019","xsnews","newspapers","linkedin.com/company/xsnews","","xsnews","","11-50","xsnews.net"
"germany","2019","ginger-magazin","newspapers","linkedin.com/company/ginger-magazin","bayern","ginger magazin","bavaria","1-10","gingermagazin.com"
"mexico","2019","no-todo-es-malo","newspapers","linkedin.com/company/no-todo-es-malo","monterrey","no todo es malo","nuevo leon","11-50","notodoesmalo.com"
"pakistan","2019","make-announce","newspapers","linkedin.com/company/make-announce","karachi","make announce","sindh","1-10","makeannounce.com"
"india","2019","mindbrews","newspapers","linkedin.com/company/mindbrews","haldwani","mindbrews","uttarakhand","1-10","mindbrews.in"
